,per,pbr,roe,revenue_growth
AACG,NA,0.96,-54.12,"1,832.10"
AACQ,NA,NA,NA,NA
AAL,4.23,NA,NA,-86.4
AAME,NA,0.33,-1.42,15.3
AAOI,NA,1.03,-27.97,50.2
AAON,47.08,10.29,24.25,5.2
AAPL,37.73,29.43,69.25,10.9
AAWW,2.78,0.91,-12.23,24.3
AAXN,7.52k,7.08,-4.85,25.7
ABCB,14.44,0.75,6.71,56.3
ABEO,NA,0.97,-83.23,NA
ABIO,NA,3.95,-51.34,NA
ABMD,77.93,11.09,15.08,-20.6
ABTX,13.93,0.73,5.48,-13.1
ABUS,NA,2.44,-117.49,131.9
ACAD,NA,10.24,-42.81,32.3
ACAM,85,1.29,NA,NA
ACAMU,NA,NA,NA,NA
ACBI,15.98,0.85,5.55,-31.7
ACCD,NA,NA,NA,24.8
ACER,NA,3.14,-108.98,NA
ACET,NA,NA,NA,125.9
ACEV,NA,NA,NA,NA
ACGL,11.63,1.14,8.88,28.8
ACGLO,NA,NA,8.88,28.8
ACGLP,NA,NA,8.88,28.8
ACHC,26.77,1.14,4.33,-4.9
ACHV,NA,2.37,-100.68,NA
ACIA,48.73,4.53,10.29,21.6
ACIU,9.87,1.32,-9.41,-15.4
ACIW,46.17,3.2,7.18,0.8
ACLS,21.36,1.65,8.22,65.5
ACMR,102.16,15.2,14.95,34.6
ACNB,9.76,0.72,7.37,5.2
ACOR,NA,0.12,-53.07,-32.8
ACRS,NA,3.74,-74.47,130.9
ACRX,NA,NA,NA,210.7
ACST,NA,1.81,-310.01,NA
ACTG,NA,1.01,-6.29,-61.2
ADAP,NA,3,-42.62,219.7
ADBE,63.33,20.59,35.17,13.8
ADES,4.48,1.06,-13.58,-26.3
ADI,41.46,3.89,9.44,-1.6
ADIL,NA,3.09,-83.4,NA
ADMA,NA,2.55,-99.24,18.7
ADMP,NA,3.99,-120.22,-31.9
ADMS,NA,NA,-851.33,48.1
ADP,26.04,11.09,44.23,-2.9
ADPT,44.56,13.25,-24.57,-5.2
ADSK,159.49,847.04,NA,14.6
ADTN,114.75,1.46,-16.53,-17.7
ADTX,NA,NA,NA,NA
ADUS,49.05,3.26,8.11,23.9
ADVM,NA,4.15,-37.87,NA
ADXN,NA,2.64,-57.41,77.4
ADXS,NA,0.85,-74.8,NA
AEGN,NA,1.17,-1.07,-23.1
AEHR,153.47,2.74,-16.53,-63.6
AEIS,42.94,3.9,9.52,152.1
AEMD,NA,1.25,-70.64,NA
AEP,23.38,2.22,9.54,-2.2
AERI,NA,6.03,-164.34,13.9
